800,1280799
872,1521639
968,1875015
922,1701089
89,15930
578,668745
998,1993005
67,9044
813,1322750
599,718200
31,1952
268,143915
551,607752
361,261002
375,281624
235,110684
917,1682694
75,11324
161,52002
898,1613705
190,72389
773,1195830
980,1921779
522,545489
893,1595790
546,596777
560,627759
214,91805
3,20
795,1264844
492,484619
543,590240
58,6785
875,1532124
719,1034640
582,678029
955,1825004
413,341550
277,153734
412,339899
519,539240
758,1149885
554,614385
197,77814
576,664127
525,551774
302,182709
167,55944
527,555984
626,784377
284,161595
185,68634
637,812174
930,1730729
714,1020305
143,41040
210,88409
12,299
504,508535
53,5670
866,1500777
568,645815
120,28919
131,34452
47,4464
55,6104
1,2
944,1783215
823,1355480
661,874502
336,226127
899,1617300
824,1358775
385,296834
226,102377
959,1840320
844,1425515
728,1060695
754,1137785
269,144990
160,51359
265,140714
241,116402
552,609959
629,791910
772,1192739
710,1008909
706,997577
607,737504
711,1011752
584,682695
149,44550
630,794429
476,453627
677,917334
37,2774
103,21320
935,1749384
445,396494
479,459360
